senatore,nome,cognome,sesso,legislatura,inizioMandato,fineMandato,tipoMandato,tipoFineMandato,dataNascita,cittaNascita,provinciaNascita,nazioneNascita
http://dati.senato.it/senatore/1672,Giorgio,Napolitano,M,19,2022-10-13,,"di diritto e a vita, Presidente emerito della Repubblica",,1925-06-29,Napoli,Napoli,Italia
http://dati.senato.it/senatore/25446,Gaetano,Nastri,M,19,2022-10-13,,elettivo,,1968-03-18,Boscoreale,Napoli,Italia
http://dati.senato.it/senatore/32673,Gisella,Naturale,F,19,2022-10-13,,elettivo,,1969-06-03,San Giovanni Rotondo,Foggia,Italia
http://dati.senato.it/senatore/36410,Luigi,Nave,M,19,2022-10-13,,elettivo,,1970-05-13,Villaricca,Napoli,Italia
http://dati.senato.it/senatore/36411,Antonio,Nicita,M,19,2022-10-13,,elettivo,,1968-02-10,Siracusa,Siracusa,Italia
http://dati.senato.it/senatore/36412,Vita Maria,Nocco,F,19,2022-10-13,,elettivo,,1974-12-12,Santeramo in Colle,Bari,Italia
http://dati.senato.it/senatore/36413,Mario,Occhiuto,M,19,2022-10-13,,elettivo,,1964-01-06,Cosenza,Cosenza,Italia
http://dati.senato.it/senatore/36414,Fausto,Orsomarso,M,19,2022-10-13,,elettivo,,1971-08-18,Cosenza,Cosenza,Italia
http://dati.senato.it/senatore/32677,Andrea,Ostellari,M,19,2022-10-13,,elettivo,,1974-03-17,Campo San Martino,Padova,Italia
http://dati.senato.it/senatore/34243,Andrea,Paganella,M,19,2022-10-13,,elettivo,,1974-12-03,Roncoferraro,Mantova,Italia
http://dati.senato.it/senatore/33005,Raffaella,Paita,F,19,2022-10-13,,elettivo,,1974-11-23,LA SPEZIA,La Spezia,Italia
http://dati.senato.it/senatore/4512,Adriano,Paroli,M,19,2022-10-13,,elettivo,,1962-03-30,Brescia,Brescia,Italia
http://dati.senato.it/senatore/29521,Dario,Parrini,M,19,2022-10-13,,elettivo,,1973-10-17,Vinci,Firenze,Italia
http://dati.senato.it/senatore/36415,Pietro,Patton,M,19,2022-10-13,,elettivo,,1957-12-28,Trento,Trento,Italia
http://dati.senato.it/senatore/32681,Stefano,Patuanelli,M,19,2022-10-13,,elettivo,,1974-06-08,Trieste,Trieste,Italia
http://dati.senato.it/senatore/3900,Marcello,Pera,M,19,2022-10-13,,elettivo,,1943-01-28,Lucca,Lucca,Italia
